WorkID,WorkTitle,Genre
2449,"Too Much","Music video"
1817,"Raised by Wolves",Narrative
1817,"Raised by Wolves","TV series or episode"
2587,Superintelligence,Narrative
2587,Superintelligence,Movie
2576,"The Midnight Sky",Narrative
2576,"The Midnight Sky",Movie
2812,Invincible,Narrative
2812,Invincible,"TV series or episode"
2722,"Outside the Wire",Narrative
2722,"Outside the Wire",Movie
3220,"Squid Game",Narrative
3220,"Squid Game","TV series or episode"
3216,"Klara and the Sun",Narrative
3216,"Klara and the Sun",Novel
3119,Machinehood,Narrative
3119,Machinehood,Novel
3033,"The Mitchells vs. The Machines",Narrative
3033,"The Mitchells vs. The Machines",Movie
3137,"Black Widow",Narrative
3137,"Black Widow",Movie
