SituationID,Situation,SituationDescription,SituationQuotes
1936,"2033: La Ilusión de un Futuro Mejor (Monitor consumption of Pectanol)","Citizens of Villaparaiso are continuously monitored to control their daily consumption of Pectanol. (Vimeo Film 11:20 https://vimeo.com/86209499) However, Lucia is aware of the surveillance cameras and is able to hide from them when adding some kind of antidote  liquid to her bottle, hence, able to trick the surveillance system that fails to detect that she is not taking her dose of Pentacol properly (12:00).",NA
1933,"2033: La Ilusión de un Futuro Mejor (Provide doses of Pectanol)","Citizens of Villaparaiso get daily doses of Pectanol by scanning their ID bracelets on vending machines. (Film on Vimeo 08:12 https://vimeo.com/86209499)",NA
2922,"2033: La Ilusión de un Futuro Mejor (Tricking retina scanner)","Pablo has agreed to assist the rebels, he inserts some kind of  lens in his eye. (1:05:25) When his retina is scanned the biometric surveillance system is tricked and he gets access to the city surveillance control room of the REGPEC government official. When he is there his fellow rebellions can hack the surveillance cameras and change the feed they are capturing.",NA
2204,"3% (Emotion Recognition in Interviews)","The first task in the selection process is an interview. A screen separates the participants from the interviewers, where the screen looks like regular glass to the participants. On the interviewer's side, the screen contains information about and analysis of the participants, for instance a visual representation and analysis of their facial expressions.",NA
2207,"3% (Facial Recognition in Surveillance Footage)","After his excursion through the streets in episode 2,  Ezequiel scans the footage recorded by the surveillance cameras that were following him, to see if the facial recognition software recognises his face. No match is found.
In conversation with her superior, Aline states that Ezequiel has a habit of walking into those streets, erasing the security footage and editing the images afterwards.",NA
2205,"3% (Surveillance Cameras in Streets)","In episode 2, Ezequiel is travelling through the streets of what they call The Inland. They are not supposed to go there, so he travels in disguise. Aline walks into a room where surveillance footage is shown in a room where the walls function as a large screen. 
Aline is in this moment trying to uncover what Ezequiel is hiding. She discovers that certain surveillance cameras attached in different streets and on different corners have been tampered with, each containing a blind spot where people seemingly disappear into nothing. Three circles follow the movement of the people in the footage, so when they disappear, so do the circles as there no longer is any motion to track.
She resets the cameras to show the full image that they are supposed to record, and discovers a hunched figure walking through the streets, and recognise it as being Ezequiel. When Aline virtually follows him through the streets with the different camera angles, we also see those three circles that indicate motion tracking following him. ",NA
2821,"3x3x6 (Audiences participating and being surveilled)","Alongside 10 videos with performers reinterpreting historical figures subjected to persecution or imprisonment for their transegressions, the exhibition includes ""the cube"", a central hub of computational devices controlling the gallery's surveillance and machine vision systems. Audiences can participate in two ways: upon entering the exhibition, their faces are scanned by surveillance cameras and reproduced as abstract compositions on screens. Visitors can also upload videos of themselves dancing, that are then processed by body pose recognition algorithms and projected in the gallery."," [...] a kind of public participation and pseudo-intervention into the surveillance system."
295,"79530 Self Portraits (GAN transforming errors)","This work explores how a feedback loop of generative adversarial neural networks (GANs) is transforming errors into meaning while at the same time confirming and emphasizing biases in the training data.",NA
1012,">observer_ (Augmented visions)","Daniel Lazarski has both Electromagnetic and Bio Vision, which allows him to highlight and analyse electronic devices and biological evidence.",NA
1013,">observer_ (Holographic projections)","""In the late 2020s, advancements in holographic technology allowed to create high-fidelity spatial images transmitted via a small projector. At first, they were mostly used as a simple form of entertainment, succeeding the television sets of the 20th century as the go-to past time for the majority of citizens. As projectors became cheaper to manufacture, the technology gained new and interesting applications - one of them being a substitute for interior design. Holo-projection allowed to expand the limited living space, while also allowing the inhabitants to fully customize their domestic environment. Although the visual quality of these ""holographic households"" was far from perfect, it was still an improvement over the drab decor of many lower-class apartments.
In the 2060s, holo-projection found a new and surprising use in architecture. While holographic elements had been previously used in the upper class districts to add a bit of flare to a building""s facade, in 2062 they started to be installed en masse in class C tenement buildings. This was all part of Chiron""s new ""urban refinement"" program. Unable to physically renovate such vast areas, corporate executives opted for a cheaper solution - the projectors would create a holographic facade, covering the decrepit walls and interiors, creating ""a sense of clarity and serenity"". This was intended to boost the morale of class C inhabitants, but the results were mixed.
Tenants saw it as more of a stopgap than an actual solution and compared it to putting a fresh coat of paint on a rusty old clunker. They also complained about the increased rate of power outages, as well as disorientation. The latter proved especially troublesome, with frequent cases of tenants accidentally walking into walls, or - in extreme cases - falling down shafts and crevices obscured by a faultily placed hologram.
Due to the lukewarm reception, the ""urban refinement"" program was dropped after a few years, but the holo-projectors are still a common sight in C district tenement buildings.""
- From https://observer.gamepedia.com/Holographic_Projection, retrieved January 29, 2020",NA
3249,">observer_ (Neural police analysing mind VR)","Dan is an Observer, a ""neural police"" that can hack into people's minds. This hacking is a kind of VR simulation of their memories, similar to e.g. To the Moon. It also mixes dreams and fantastical elements into the technical presentation of minds.",NA
1644,"A Closed and Common Orbit (AI gets a body kit)","The spaceship AI Lovelace, later known as Sidra, gets downloaded into a body and has to deal with having human senses for the first time. She is distressed by the limited range of vision offered by the body kit, and hates not being able to see what is behind her.  ","Everything was overwhelming. Twenty-nine minutes before, she’d been housed in a ship, as she was designed to be. She’d had cameras in every corner, voxes in every room. She’d existed in a web, with eyes both within and outside. A solid sphere of unblinking perception. But now. Her vision was a cone, a narrow cone fixed straight ahead, with nothing – actual nothing – beyond its edges. (p. 5)
;The visual cone of perception that had rattled her upon installation was maddening now. She found herself jerking the kit sharply around at loud noises and bright colours, trying desperately to take it all in. That was her job. To look. To notice. She couldn’t do that here, not with fragmented views of crowds without edges. Not in a city that covered a continent. (p. 18). 
;She fought to keep the kit’s eyes on the ground, struggled to keep the kit’s breath steady. She could feel panic creeping as the crowd pressed in and the buildings sprawled forever outward. She remembered how the ship had felt – a camera in every hallway, a vox in every room, the lull of open space embracing it all. She remembered the vacuum, and she ached for it.  (p. 117).
;The awareness of people behind the kit was as uncomfortable as ever, yes, but in this case, it was more of an irritation than a hindrance. Frustration with perception was a familiar feeling. Dancing was not. Presented with something new, she could easily ignore the everyday. (p. 223)."
1645,"A Closed and Common Orbit (Sidra gets petbots)","Sidra, the spaceship AI who has been downloaded into a body, opens a bar together with a spaceship AI known as Owl. Sidra is connected to a network of petbots, while Owl is connected to security cameras in the walls. Sidra delights in being able to see from the different perspectives of the cameras on the petbots, which free her from the limitation of only being able to see through the human eyes of her body kit. ","There were six of them altogether, and Owl could see each one as they roamed around the cosy establishment. There was the cat, of course, and the rabbit, which hopped along after Tak. The dragon was wandering around the back storage room, double-checking inventory. The turtle was at its permanent post next to the Linking hub, which it was plugged directly into. The remaining two – the giant spider and the monkey – sat in the window of the bedroom upstairs, each focused on the street outside from a different angle. To future customers, the petbots would appear to be nothing more than a quirky, kitschy menagerie that gave the establishment some charm (much like Owl’s vid panels on the walls, which she’d been deeply amused to learn were considered a bit retro). In reality, the petbots were networked together, and Sidra could spread herself through all of them, using them as Owl used the cameras in the corners. No one aside from the three sapients with them now would know that the friendly face in the walls wasn’t the only AI present. No one would know about the block of memory banks down in the basement, or if they did, they wouldn’t know about Sidra and Owl gleefully stuffing them with their latest downloads. No one would know that the bed upstairs wasn’t used by the establishment’s proprietor, but by Pepper and Blue, who sometimes stayed late to help get the place ready (or stayed just to talk, much to Owl’s delight). (p. 360)
 
 
 "
2675,"A Date in 2025 (Daniel dating Amber)","Daniel is living a hermit like existence with only his AI as company. When he is not attending class virtually, he is drinking pizza shakes and watched virtual porn. His AI is trying to encourage Daniel to be more social, if he doesn`t, there is a high risk of suicide. He does not want to die, so with new motivation he enters his virtual classroom and asks the lovely Ambe if she would be interested in going on a real life date with him. She says yes",NA
3228,"A Disappeared Movement (Participants avoid surveillance cameras)","After six months of research about the surveillance cameras on a Beijing city center street, artist Deng Yufeng instructs and guides participants on how to walk along the street while avoiding the field of view of various kinds of cameras, helped by a map.",NA
1157,"A Hipster Bar (hipster recognition)","A person acquiring accesses to the hipster bar is analyzed by a object recognition model trained with images labeled hipster on Instagram.",NA
2383,"A Memory Called Empire (Cloudhooks)","Cloudhooks are optical implants that connect citizens to the network and allow them to control various devices, access information or make calls to individuals. They may also be surveilled. 
 
To change channels on the holoscreen, Twelve Azalea ajust his cloudhook with his eyes. ","""How do you change the channels on your holoscreen?"" 
(...) 
His eyes tracked under his cloudhook, tiny micro-adjustments, and the holoscreen flickered, shifted. Channel Eight! hovered in the right top corner. 
s. 288
;""Stop watching the news, Petal, and come see how this poem spreads while I've still got access."" She [Three Seagrass] unhooked her cloudhook from its customary position over her right eye and put it on the conference table in front of them, changing itrs settings so that it acted as a very small infoscreen projector. Mahit watched the poem they'd written spread through the information network of Teixcalaan - shared from cloudhook to cloudhook, reposted and recontextualized, like watching ink spreading in water. 
s. 391 "
2386,"A Memory Called Empire (Holographs)","Holographs are common in the fictional world, and are played with or used as information sources and maps by many different characters. ","On a broad couch in the center, Five Agte sat with her legs folded under her, lotus-fashion. Above her knee she spun a brightly colored holograph of the City's local solar system, the orbits marked out in glowing-gold arcs and each planet labelled in glyphs Mahit could read from across the room - and standing in front of the holograph, his small hands busy pulling the planets apart and watching them snap back to their appropriate gravitational wells, was a child who couldn't be more than six. 
s. 137
;Beyond the door the floor was slate and there were enormous windows, rose-shaded to keep the sky from blazing too much across all the many holograph screens floating in a wide arc of a workspace that surrounded Nineteen Adze in a rough corona. (...) Nineteen Adze banished three holographs with a flick of her wrist: two in text, one that might have been a scale model of Plaza Central Nine from above. Their afterimages glowed
s. 104

 
;Nineteen Adze was immersed in her workspace, rearranging holographs and projections around her with a fluid rythm, so Mahit sat down at the low table where the tea was and waited. 
s. 107
;Nineteen Adze had turned her front office into a war room. She stood - as she had before - in the center of a vast sea of holograph projections, arcs upon arcs of them. 
s. 403
;Six Direction himself sat in the center of the room on a divan, dressed in resplendent red-purple and gold, and while at home in Palace-Earth he had borne a halo of sunlamps, here in the deep places under the City he was surrounded by a scintillating fortification of information holographs, a migraine aura composed entirely of reports. 
s. 419
;We move toward Parzrawantlak Sector, said Six Direction, his face suddenly overlaid with the star-chart of Teixcalaanli space. The City, a golden planet, hovered between his eyes; then the cart shifted, demonstrating the vectors the fleet would take, the points at which they would converge into an unstoppable spearpoint of ships. 
s. 201"
2602,"A Scanner Darkly (Bob is Identified)","Bob Arctor calls Donna, someone is trying to identify basically everything to find out who they are. They used surveillance cameras, satelite images, gait recognition, voice recognition, object recogntion (car plates), facial recognition, motion tracking. The woman tracking them is being asked by the computer system after identifying both Donna and Bob if it should arrest bob? The woman decides no arrest.",NA
