WorkTitle,WorkID,Genre
"I'm going to die, and probably soon, because of what I saw through an unsecured webcam one night",220,Narrative
"I'm going to die, and probably soon, because of what I saw through an unsecured webcam one night",220,Creepypasta
Satellite Images,218,Creepypasta
Satellite Images,218,Narrative
Nineteen Eighty-Four,202,Narrative
Nineteen Eighty-Four,202,Novel
Little Brother,173,Novel
Little Brother,173,Narrative
Lessons on Leaving Your Body,167,Movie
Lessons on Leaving Your Body,167,Narrative
No More Selfies - A Kardashian Dystopia,165,Fan fiction
No More Selfies - A Kardashian Dystopia,165,Narrative
Trette Menn,164,Novel
Trette Menn,164,Narrative
Daemon,162,Narrative
Daemon,162,Novel
Drones Don't Kill People,157,Short story
Drones Don't Kill People,157,Narrative
Autonomous,153,Narrative
Autonomous,153,Novel
Cowboy Bebop,144,TV series or episode
Cowboy Bebop,144,Narrative
Minority Report,141,Narrative
Minority Report,141,Movie
Someone to Watch Over Me,133,Short story
Someone to Watch Over Me,133,Narrative
Has Anyone Else Used ExpressionCaptioner?,127,Creepypasta
Has Anyone Else Used ExpressionCaptioner?,127,Narrative
Selfies,125,Short story
Selfies,125,Narrative
Totally Normal,112,Online video
Totally Normal,112,TV series or episode
Totally Normal,112,Narrative
Young Ones,108,Movie
Young Ones,108,Narrative
eXistenZ,104,Movie
eXistenZ,104,Narrative
Sword Art Online,96,TV series or episode
Sword Art Online,96,Narrative
“Thoughts and Prayers”,94,Narrative
“Thoughts and Prayers”,94,Short story
"AI, Ain't I a Woman",86,Online video
"AI, Ain't I a Woman",86,Narrative
The Machine Stops,82,Narrative
The Machine Stops,82,Short story
Hardcore Henry,80,Movie
Hardcore Henry,80,Narrative
Song of the Machine,67,Online video
Song of the Machine,67,Narrative
I Spy with my Machine Eye,26,Electronic literature
I Spy with my Machine Eye,26,Narrative
In the Robot Skies: A Drone Love Story,25,Online video
In the Robot Skies: A Drone Love Story,25,Narrative
The Webcam Project,19,Creepypasta
The Webcam Project,19,Narrative
Ralph Breaks the Internet,10,Movie
Ralph Breaks the Internet,10,Narrative
Breathe: A Ghost Story,6,Narrative
Breathe: A Ghost Story,6,Electronic literature
