Title,ID,Year,Country,Genre,"Genre ID","Technologies referenced","Technologies referenced id","Technologies used","Technologies used id",Topic,"Topic id",Sentiment,"Sentiment id","Situation machine vision is used in","Situation machine vision is used in ID",Characters,"Characters ID"
"79530 Self Portraits",239,2018,Germany,"Art, Video art","20002, 2000139",,,"Camera, Image generation, Machine learning","2000206, 200073, 200012","AI, Horror, Identity","2000168, 200061, 2000169","Alien, Exciting, Flawed","200096, 200097, 2000208","79530 Self Portraits (GAN transforming errors)",295,,
>observer_,881,2017,Poland,Game,20003,"Augmented reality, Biometrics, Body scans, Holograms, Non-Visible Spectrum, Object recognition","200074, 20009, 200090, 20001339, 2000207, 200015",,,"Conflict, Cyborgs, Dystopian, Family, Hacking, Horror","200055, 2000203, 200070, 2000167, 2000160, 200061","Creepy, Helpful","2000327, 200098",">observer_ (Augmented visions), >observer_ (Holographic projections), >observer_ (Neural police analysing mind VR)","1012, 1013, 3249","Daniel Lazarski",1011
"A Closed and Common Orbit",1642,2016,"United States","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Surveillance cameras, UGV","2000152, 200080, 2000947",,,"AI, Family, Grief, Identity","2000168, 2000167, 2000161, 2000169","Empowering, Intimate","2000318, 2000100","A Closed and Common Orbit (AI gets a body kit), A Closed and Common Orbit (Sidra gets petbots)","1644, 1645",Sidra,1643
"A Date in 2025",2672,2017,"United States","Narrative, Movie","20001, 2000130","AI (General Purpose Artificial Intelligence), Virtual reality","2000152, 2000147",,,"AI, Companionship, Romantic relationship","2000168, 200050, 200048","Helpful, Prosocial","200098, 2000319","A Date in 2025 (Daniel dating Amber)",2675,"Daniel, Amber","2673, 2674"
"A Disappeared Movement",3227,2020,China,"Art, Performance art","20002, 2000140","Motion tracking, Surveillance cameras","2000180, 200080","Surveillance cameras",200080,"City, Hacking, Surveillance","2000311, 2000160, 200052","Intrusive, Oppressive","2000209, 2000107","A Disappeared Movement (Participants avoid surveillance cameras)",3228,,
"A Hipster Bar",907,2015,"United Kingdom, Netherlands","Art, Installation art","20002, 2000138",,,"Facial recognition, Machine learning","20007, 200012","AI, Automation, Identity","2000168, 2000173, 2000169","Exciting, Fun, Subversive","200097, 2000212, 2000210","A Hipster Bar (hipster recognition)",1157,,
"A Memory Called Empire",1950,2019,"United States","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Biometrics, Drones (UAV), Holograms, Optical/ocular implant","2000152, 20009, 200079, 20001339, 2000127",,,"AI, City, Conflict, Identity","2000168, 2000311, 200055, 2000169","Alien, Helpful, Intimate, Oppressive","200096, 200098, 2000100, 2000107","A Memory Called Empire (Holographs), A Memory Called Empire (Cloudhooks)","2386, 2383",,
"A Scanner Darkly",2599,2006,"United States","Narrative, Movie","20001, 2000130","Body scans, Facial recognition, Holograms, Motion tracking, Object recognition, Satellite images, Surveillance cameras","200090, 20007, 20001339, 2000180, 200015, 200078, 200080",,,"Crime, Identity, Surveillance","200057, 2000169, 200052","Creepy, Intrusive","2000327, 2000209","A Scanner Darkly (Scramble Suit), A Scanner Darkly (Bob is Identified), A Scanner Darkly (Fred is Surveilling Bob)","2601, 2602, 2605","Bob Arctor, Donna Hawthorne, Fred (undercover cop)","2600, 2604, 2603"
"A Song for a New Day",1612,2019,"United States","Narrative, Novel","20001, 2000133","Facial recognition, Surveillance cameras, Virtual reality","20007, 200080, 2000147",,,"City, Companionship, Dystopian, Family","2000311, 200050, 200070, 2000167","Exciting, Fun, Oppressive, Protective, Wondrous","200097, 2000212, 2000107, 2000317, 2000325","A Song for a New Day (VR bar), A Song for a New Day (VR rock concert), A Song for a New Day (facial recognition for payment), A Song for a New Day (homogenous VR avatars)","1631, 1632, 1633, 1635","Luce Cannon, Rosemary, Concert audience (Song for a New Day)","1630, 1629, 1878"
"A View to a Kill",495,1985,"United Kingdom","Narrative, Movie","20001, 2000130","Camera, Facial recognition","2000206, 20007",,,"Crime, Physical violence","200057, 200056","Empowering, Hostile, Intrusive, Protective","2000318, 200099, 2000209, 2000317","A View to a Kill (Bond`s identity revealed)",494,"James Bond (Roger Moore), Max Zorin","492, 493"
Agency,2798,2020,"United States","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Augmented reality, Facial recognition, Non-Visible Spectrum","2000152, 200074, 20007, 2000207",,,"AI, Climate Change, Economy","2000168, 200069, 2000172","Empowering, Helpful, Protective","2000318, 200098, 2000317","Agency (Night vision), Agency (Eunice's drones)","2799, 2800","Verity, Eunice/UNISS","2797, 2796"
"AI Amok",1487,2020,Japan,"Narrative, Movie","20001, 2000130","AI (General Purpose Artificial Intelligence), Biometrics, Body scans, Drones (UAV), Emotion recognition, Facial recognition, Holograms, Machine learning, Surveillance cameras","2000152, 20009, 200090, 200079, 200091, 20007, 20001339, 200012, 200080",,,"AI, Automation, Autonomous vehicles, Dystopian, Economy, Family, Hacking, Inequality, Labour, Surveillance","2000168, 2000173, 2000201, 200070, 2000172, 2000167, 2000160, 200089, 2000179, 200052","Dangerous, Hostile, Intrusive, Oppressive, Protective","2000129, 200099, 2000209, 2000107, 2000317","AI Amok (Nozomi analyzes world population), AI Amok (Hundred Eyes tracks Kosuke)","1490, 1492","Nozomi, Kiryu Kosuke, Hundred Eyes","1489, 1488, 1491"
"AI Facial Profiling, Levels of Paranoia",3210,2018,Switzerland,"Art, Installation art","20002, 2000138","Machine learning",200012,"Facial recognition, Machine learning","20007, 200012","AI, Surveillance","2000168, 200052","Hostile, Intrusive, Misleading, Oppressive","200099, 2000209, 2000213, 2000107","AI Facial Profiling, Levels of Paranoia (classifying threat)",3211,,
"AI Generated Nude Portraits",71,2018,"United States","Art, Photograph/print/painting","20002, 2000157",,,"Image generation, Machine learning","200073, 200012","AI, Nudity","2000168, 200086","Alien, Creepy, Flawed","200096, 2000327, 2000208","AI Generated Nude Portraits (GAN creating portraits)",725,,
"AI, Ain't I a Woman",86,2018,"United States, Ghana","Art, Video art, Narrative, Online video","20002, 2000139, 20001, 2000132","Facial recognition, Machine learning","20007, 200012","Facial recognition, Machine learning","20007, 200012","AI, Gender, Identity, Inequality","2000168, 2000165, 2000169, 200089","Flawed, Misleading, Oppressive","2000208, 2000213, 2000107","AI, Ain't I A Woman (Facial Recognition)",658,"""Joy Buolamwini"",  Iconic Black Woman","269, 2851"
"AI, Ain't I a Woman",86,2018,"United States, Ghana","Art, Video art, Narrative, Online video","20002, 2000139, 20001, 2000132","Facial recognition, Machine learning","20007, 200012","Facial recognition, Machine learning","20007, 200012","AI, Gender, Identity, Inequality","2000168, 2000165, 2000169, 200089","Flawed, Misleading, Oppressive","2000208, 2000213, 2000107","AI, Ain't I A Woman (Facial Recognition)",658,"""Joy Buolamwini"",  Iconic Black Woman","269, 2851"
"AI: The Somnium Files",1239,2019,Japan,Game,20003,"AI (General Purpose Artificial Intelligence), Body scans, Holograms, Non-Visible Spectrum, Optical/ocular implant, Virtual reality","2000152, 200090, 20001339, 2000207, 2000127, 2000147",,,"AI, Consciousness, Crime","2000168, 2000171, 200057",Helpful,200098,"AI: The Somnium Files (AI X-ray vision)",1472,"Aiba, Kaname Date","1237, 1238"
"Alien: Blackout",131,2019,Finland,Game,20003,"Surveillance cameras",200080,,,"Horror, Surveillance","200061, 200052","Helpful, Protective","200098, 2000317","Alien: Blackout (Escaping the alien)",564,"Amanda Ripley, Aliens","708, 770"
"Alita: Battle Angel",2299,2019,"United States","Narrative, Movie","20001, 2000130","Body scans, Holograms, Object recognition","200090, 20001339, 200015",,,"City, Cyborgs, Physical violence, Robots/androids","2000311, 2000203, 200056, 200051","Helpful, Hostile","200098, 200099","Alita: Battle Angel (Object recognition used to identify scrap), Alita: Battle Angel (Body scan analyzing the body and brain)","2304, 2305","Alita, Dr. Dyson Ido, Nurse Gerhad","2301, 2302, 2303"
Alone,332,2016,Norway,"Narrative, Music video","20001, 2000316","Augmented reality, Webcams","200074, 2000153",Filtering,200013,"City, Companionship, Identity, Nature","2000311, 200050, 2000169, 2000175","Empowering, Helpful, Prosocial, Protective","2000318, 200098, 2000319, 2000317","Alone (Webcams), Alone (Surveillance cameras), Alone (Augmented Reality)","333, 334, 335","""Alan Walker"", Walkers (Alan Walker fans)","1776, 1777"
"America is Bleeding",2116,2005,"United Kingdom, United States","Art, Online art","20002, 2000159",,,"Camera, Webcams","2000206, 2000153","City, Surveillance","2000311, 200052","Intimate, Intrusive","2000100, 2000209","America is Bleeding (Streaming surveillance footage)",2243,,
Ana,2696,2015,"United Kingdom","Narrative, Movie","20001, 2000130","AI (General Purpose Artificial Intelligence), Augmented reality, Biometrics, Camera, Drones (UAV), Facial recognition, UGV","2000152, 200074, 20009, 2000206, 200079, 20007, 2000947",,,"AI, Automation, Free will, Labour, Robots/androids","2000168, 2000173, 2000163, 2000179, 200051","Dangerous, Flawed, Hostile, Misleading, Subversive","2000129, 2000208, 200099, 2000213, 2000210","ANA (Robot decieves human)",2697,"Jim Compagnoni",2698
"Ancillary Justice",249,2013,,"Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Augmented reality, Object recognition, Satellite images, Surveillance cameras","2000152, 200074, 200015, 200078, 200080","AI (General Purpose Artificial Intelligence)",2000152,"AI, Companionship, Free will, Identity, War","2000168, 200050, 2000163, 2000169, 200054",,,"Ancillary Justice (AI)",246,"One Esk Nineteen",245
"And Shall Machines Surrender",2665,2019,Thailand,"Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Optical/ocular implant","2000152, 2000127",,,"AI, Identity, Romantic relationship, Sex","2000168, 2000169, 200048, 200053",,,"And Shall Machines Surrender (Optical implants), And Shall Machines Surrender (Computer-generated surroundings)","2666, 2667","Orfea Leung, Krissana Khongtip","2668, 2669"
"Android Kunjappan Version 5.25",2397,2019,India,"Narrative, Movie","20001, 2000130","AI (General Purpose Artificial Intelligence), Body scans, Camera, Emotion recognition, Facial recognition, Machine learning, Object recognition","2000152, 200090, 2000206, 200091, 20007, 200012, 200015",,,"AI, Automation, Companionship, Family, Robots/androids","2000168, 2000173, 200050, 2000167, 200051","Dangerous, Exciting, Flawed, Helpful, Intimate, Prosocial","2000129, 200097, 2000208, 200098, 2000100, 2000319","Android Kunjappan Version 5.25 (Android scans and gives advice), Android Kunjappan Version 5.25 (Android analyses soil substance)","2401, 2402","Bhaskara Poduva, Kunjappan, Subramanian","2399, 2398, 2400"
"Animal Classifier",2035,2016,"South Korea","Art, Installation art","20002, 2000138",,,"Object recognition",200015,"AI, Animals","2000168, 2000200",Flawed,2000208,"Animal Classifier (classifying images of animals)",2537,,
Anon,831,2018,"United Kingdom, United States, Germany, Canada","Narrative, Movie","20001, 2000130","Augmented reality, Facial recognition, Image generation, Object recognition, Optical/ocular implant","200074, 20007, 200073, 200015, 2000127",,,"Crime, Hacking, Identity, Nudity, Sex, Surveillance","200057, 2000160, 2000169, 200086, 200053, 200052","Creepy, Flawed, Intimate, Intrusive","2000327, 2000208, 2000100, 2000209","Anon (Naked lesbians murdered), Anon (Sal deceives surveillance), ANON (Augmented Reality Identifying and Classifying)","835, 837, 2966","Sal Frieland, Anon (Anon), Cyrus Frear, Surveillance Officer (Anon)","832, 833, 834, 836"
"ANONYMOUS: Anonymity scarf",1500,2017,Netherlands,Art,20002,"Facial recognition, Surveillance cameras","20007, 200080",,,"Hacking, Surveillance","2000160, 200052","Flawed, Intrusive","2000208, 2000209","ANONYMOUS: Anonymity scarf (hiding from facial recognition)",1549,,
Antibodies,2122,2020,Canada,"Art, Online art","20002, 2000159",,,"Facial recognition, Webcams","20007, 2000153","AI, Identity","2000168, 2000169","Intimate, Intrusive, Overwhelming","2000100, 2000209, 2000188","Antibodies (recognzing faces)",2567,,
"Any Vision",233,2011,Slovakia,Art,20002,,,Microscope/Telescope,2000195,Automation,2000173,"Alien, Helpful","200096, 200098","Any Vision (Magnifying poem text)",2760,,
"Arc of a Scythe (series)",2810,2016,"United States","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Body scans, Surveillance cameras","2000152, 200090, 200080",,,"AI, Crime, Dystopian, Inequality, Physical violence","2000168, 200057, 200070, 200089, 200056","Intimate, Intrusive, Prosocial, Protective","2000100, 2000209, 2000319, 2000317","Arc of a Scythe (Thunderhead watches everyone), Arc of a Scythe (Hiding from Thunderhead), Arc of a Scythe (Thunderhead's pain), Arc of a Scythe (New AI is giddy with power)","2861, 2859, 2862, 2865","Thunderhead, Citra Terranova/Scythe Anastasia, Rowan Damish, Greyson","2857, 2858, 2860, 2863"
Arrival,1881,2016,"Canada, United States","Narrative, Movie","20001, 2000130","Satellite images, Surveillance cameras, Webcams","200078, 200080, 2000153",,,"Conflict, Grief","200055, 2000161","Helpful, Prosocial, Protective","200098, 2000319, 2000317","Arrival (Satellite feed of China)",1884,"Ian Donnelly, Colonel Weber","1880, 1883"
"Artificial Remnants 2.0",3182,2020,"Argentina, Germany","Art, Installation art, Online art","20002, 2000138, 2000159",,,"Image generation, Machine learning","200073, 200012","AI, Animals","2000168, 2000200",Alien,200096,"Artificial Remnants 2.0 (generating new specimens of insects)",3183,,
as.phyx.i.a,912,2015,"Japan, United States",Art,20002,"Motion tracking",2000180,"Motion tracking",2000180,"Free will, Identity","2000163, 2000169","Oppressive, Wondrous","2000107, 2000325","as.phyx.i.a (dancing)",914,"Dancer (as.phyx.i.a)",913
"Assassin's Creed IV: Black Flag",1577,2013,,Game,20003,"Augmented reality, Biometrics, Holograms, Surveillance cameras, Virtual reality","200074, 20009, 20001339, 200080, 2000147",,,"AI, Conflict, Hacking, Surveillance","2000168, 200055, 2000160, 200052","Dangerous, Empowering, Intimate, Oppressive","2000129, 2000318, 2000100, 2000107","Assassin's Creed IV: Black Flag (Hologram cannot be in a body), Assassin's Creed IV: Black Flag (The Animus), Assassin's Creed IV: Black Flag (Hacking surveillance camera)","1686, 2614, 3233","Edward Kenway, Juno, John Standish","1684, 1685, 1687"
"Assembly Line",2940,2017,"United States, Poland",Art,20002,"Facial recognition, Machine learning","20007, 200012","Cameraphone, Image generation","2000154, 200073","AI, Economy, Hacking, Labour","2000168, 2000172, 2000160, 2000179","Oppressive, Subversive","2000107, 2000210","Assembly Line (Compensating AMT labor)",2983,"AMT workers (Assembly Line)",2982
"Astral Chain",747,2019,Japan,Game,20003,"Augmented reality, Drones (UAV), Facial recognition, Holograms, Surveillance cameras","200074, 200079, 20007, 20001339, 200080",,,"Companionship, War","200050, 200054",Helpful,200098,"Astral Chain (IRIS tool)",746,"Mr./Ms. Howard",748
Asunder,1185,2019,"United States, Australia, New Zealand, Germany, Sweden","Art, Installation art","20002, 2000138","AI (General Purpose Artificial Intelligence)",2000152,"Image generation, Machine learning, Satellite images","200073, 200012, 200078","AI, Automation, Climate Change, Nature","2000168, 2000173, 200069, 2000175","Alien, Protective, Wondrous","200096, 2000317, 2000325","Asunder (environmental managing)",1212,,
"Asymmetric Love",592,2013,"United States, Austria","Art, Installation art","20002, 2000138","Surveillance cameras",200080,,,Surveillance,200052,"Hostile, Intrusive","200099, 2000209","Asymmetric Love (Surveillance chandelier)",591,,
"Attack Surface",3125,2020,"United States","Narrative, Novel","20001, 2000133","Drones (UAV), Machine learning, Surveillance cameras, UGV, Webcams","200079, 200012, 200080, 2000947, 2000153",,,"Autonomous vehicles, Dystopian, Hacking, Inequality, Surveillance","2000201, 200070, 2000160, 200089, 200052","Dangerous, Intrusive, Oppressive","2000129, 2000209, 2000107","Attack Surface (Drone brings wedding gift), Attack Surface (Dazzle makeup), Attack Surface (Assumption of constant surveillance), Attack Surface (Drones surveilling protest)","3126, 3127, 3128, 3138","Masha Maximow",3124
Autonomous,153,2017,"United States","Narrative, Novel","20001, 2000133","Augmented reality, Biometrics, Drones (UAV), Emotion recognition, Facial recognition, Machine learning, Satellite images, Surveillance cameras","200074, 20009, 200079, 200091, 20007, 200012, 200078, 200080",,,"Companionship, Consciousness, Crime, Dystopian, Free will, Gender, Inequality, Physical violence, Robots/androids, Romantic relationship, Sex, Surveillance","200050, 2000171, 200057, 200070, 2000163, 2000165, 200089, 200056, 200051, 200048, 200053, 200052","Helpful, Intimate, Oppressive","200098, 2000100, 2000107","Autonomous (Paladin hacks the sprinklers), Autonomous (Paladin in love), Autonomous (Paladin loses facial recognition)","3140, 3142, 3143","Paladin (Autonomous), Eliasz (Autonomous)","3139, 3141"
"Autonomous Trap 001",212,2017,"United Kingdom","Art, Video art, Performance art","20002, 2000139, 2000140","Machine learning, Object recognition","200012, 200015",,,"AI, Autonomous vehicles, Hacking","2000168, 2000201, 2000160",Flawed,2000208,"Autonomous Trap 001 (Trapping a Self-Driving Car)",300,,
"Avengers: Endgame",2101,2019,"United States","Narrative, Movie","20001, 2000130","Augmented reality, Body scans, Holograms, Non-Visible Spectrum, Surveillance cameras","200074, 200090, 20001339, 2000207, 200080",,,"Dystopian, Family, War","200070, 2000167, 200054","Helpful, Protective","200098, 2000317","Avengers: Endgame (AR inside of robotic suits), Avengers: Endgame (Iron Man uses infrafred vision), Avengers: Endgame (Nebula projects hologram of future self), Avengers: Endgame (Avengers use AR interfaces)","2102, 2103, 2133, 2134","The Avengers, Iron Man , Nebula","2097, 1944, 2074"
"Avengers: Infinity War",2077,2018,"United States","Narrative, Movie","20001, 2000130","3D scans, Augmented reality, Body scans, Holograms, Object recognition","20001081, 200074, 200090, 20001339, 200015",,,"Companionship, War","200050, 200054",Helpful,200098,"Avengers: Infinity War (Holographic conversation with government officials), Avengers: Infinity War (AR inside of robotic suits), Avengers: Infinity War (AR to remove Infinity Stone from Avenger), Avengers: Infinity War (Nebula forced to display hologram)","2096, 2098, 2099, 2100","Nebula, Shuri, Gamora, The Avengers, James Rhodes, Vision","2074, 1727, 1885, 2097, 2815, 2816"
Awake,316,2017,"United States","Narrative, Movie, Online video","20001, 2000130, 2000132",,,"Drones (UAV)",200079,"Conflict, Family, Identity, Inequality, Nature, Physical violence, Race, Surveillance","200055, 2000167, 2000169, 200089, 2000175, 200056, 2000166, 200052",Helpful,200098,"Awake (Drone getting shot), Awake (Drones documenting oppression)","315, 317",,
"Ayo Technology",504,2007,"United States","Narrative, Music video","20001, 2000316","Augmented reality, Microscope/Telescope, Non-Visible Spectrum, Object recognition","200074, 2000195, 2000207, 200015",,,"Inequality, Sex, Surveillance","200089, 200053, 200052","Empowering, Exciting, Helpful, Intrusive, Oppressive","2000318, 200097, 200098, 2000209, 2000107","Ayo Technology (50 Cent spying using telescope), Ayo Technology (Timbaland spies on women)","503, 505","""Timbaland"", ""50 Cent"", Sexy woman (Ayo Technology)","792, 793, 3084"
"B.I.T. Plane",118,1999,"United States","Art, Video art","20002, 2000139",,,"Drones (UAV)",200079,"Economy, Surveillance","2000172, 200052",Subversive,2000210,"B.I.T. Plane (Drone investigating)",716,,
"Batman: Arkham Knight",1458,2015,,Game,20003,"3D scans, Augmented reality, Biometrics, Body scans, Facial recognition, Microscope/Telescope, Non-Visible Spectrum, Object recognition, Surveillance cameras, UGV","20001081, 200074, 20009, 200090, 20007, 2000195, 2000207, 200015, 200080, 2000947",,,"City, Conflict, Crime, Identity, Physical violence, Surveillance, War","2000311, 200055, 200057, 2000169, 200056, 200052, 200054",Empowering,2000318,"Batman: Arkham Knight (Reconstruct biometric access), Batman: Arkham Knight (Investigate mutilated body), Batman: Arkham Knight (Scan drone to locate weak points)","1482, 2766, 2769","Batman, Simon Stagg, Anthony Lund, Alfred","1478, 2765, 2768, 2767"
"Before Your Eyes",2985,2021,"United States",Game,20003,,,"Motion tracking, Webcams","2000180, 2000153","Family, Grief, Identity","2000167, 2000161, 2000169","Alien, Intimate","200096, 2000100","Before Your Eyes (Blinking through memories)",3035,,
